trial,noise_condition,success,steps,collisions,start_row,start_col,start_heading,goal_row,goal_col,final_row,final_col,shortest_dist,path_efficiency,belief_error_rate,mean_entropy,mean_context_std
0,baseline,1,14,0,1,5,S,7,5,7,5,10,0.7142857142857143,0.0,0.00033117404018412344,0.8181095591613224
1,baseline,1,13,0,8,1,S,1,4,1,4,10,0.7692307692307693,0.0,1.403002692348729e-05,0.8179337428166316
2,baseline,1,18,0,5,3,S,8,7,8,7,13,0.7222222222222222,0.0,5.590189419358972e-05,0.8098932570881314
3,baseline,1,23,0,7,5,W,7,1,7,1,16,0.6956521739130435,0.0,2.119306148652749e-05,0.8248933087224546
4,baseline,1,11,0,5,3,W,1,6,1,6,7,0.6363636363636364,0.0,0.00047610781109597156,0.8112759427590803
5,baseline,1,13,0,4,8,E,5,2,5,2,9,0.6923076923076923,0.0,5.75346255643056e-06,0.787106779905466
6,baseline,1,11,0,2,1,W,8,4,8,4,9,0.8181818181818182,0.0,0.0005457783350431617,0.8180519613352689
7,baseline,1,7,0,6,1,W,4,3,4,3,4,0.5714285714285714,0.0,3.660552985300975e-06,0.8300731011799404
8,baseline,1,4,0,5,5,E,4,7,4,7,3,0.75,0.0,6.004049168950587e-06,0.7760888487100601
9,baseline,1,9,0,3,1,S,1,5,1,5,6,0.6666666666666666,0.0,2.8181185004743587e-05,0.8467495110299852
10,baseline,1,14,0,8,2,W,1,3,1,3,10,0.7142857142857143,0.35714285714285715,0.13131808200166364,0.7954083893980298
11,baseline,1,11,0,7,8,S,3,4,3,4,8,0.7272727272727273,0.0,1.235347427940393e-05,0.7546023347161033
12,baseline,1,19,0,1,8,S,7,5,7,5,13,0.6842105263157895,0.0,5.334195433485882e-05,0.7988499497112475
13,baseline,1,7,0,3,7,W,1,4,1,4,5,0.7142857142857143,0.0,0.00018215467935078777,0.8231770311083112
14,baseline,1,22,0,4,8,S,8,3,8,3,15,0.6818181818181818,0.0,3.768134639482344e-05,0.8142575323581696
15,baseline,1,14,0,2,1,E,3,8,3,8,10,0.7142857142857143,0.0,3.318233018489991e-05,0.8345592447689602
16,baseline,1,9,0,5,2,S,1,2,1,2,6,0.6666666666666666,0.0,0.0002715210609444006,0.8305977582931519
17,baseline,1,16,0,1,7,S,7,2,7,2,13,0.8125,0.0,1.7922250528101813e-05,0.8220145478844643
18,baseline,1,6,0,8,4,E,7,2,7,2,3,0.5,0.5,0.0071693488210560945,0.8227242132027944
19,baseline,1,15,0,8,7,E,4,3,4,3,12,0.8,0.0,6.47366646262526e-06,0.7708777864774068
20,baseline,1,19,0,8,3,N,3,8,3,8,14,0.7368421052631579,0.0,7.111249680603673e-05,0.8061912655830383
21,baseline,1,20,0,5,1,N,7,6,7,6,15,0.75,0.0,5.468069449534596e-05,0.8215890467166901
22,baseline,1,12,0,4,8,S,1,6,1,6,7,0.5833333333333334,0.0,0.00038257698507019694,0.8133788108825684
23,baseline,1,10,0,5,1,N,3,6,3,6,7,0.7,0.0,0.00010049317606899421,0.8286840438842773
24,baseline,1,10,0,8,6,N,4,7,4,7,7,0.7,0.0,5.304975206854578e-06,0.7731831014156342
